0.78    3.326739928772877    1.2553251470679079
0.79    3.6088131880513874    1.2671221204708367
0.8    3.921643753334745    1.27884153382016
0.81    4.2682574606197505    1.2904846256228368
0.82    4.651929647552457    1.3020526134405326
0.83    5.07620195436496    1.313546694015085
0.84    5.544900009183094    1.324968043420767
0.85    6.062152031739136    1.3363178172403098
0.86    6.632408390374328    1.3475971507618945
0.87    7.260462148077405    1.3588071591945659
0.88    7.9514706341769195    1.369948937899747
0.89    8.710978079187178    1.3810235626367195
0.9    9.5449393512    1.3920320898201382
0.91    10.45974483311729    1.402975556787815
0.92    11.462246480932567    1.4138549820771644
0.93    12.55978510419309    1.424671365708853
0.94    13.760218910708168    1.4354256894763269
0.95    15.071953358513529    1.446118917240023
0.96    16.50397235905614    1.4567519952251695
0.97    18.065870876529146    1.4673258523222006
0.98    19.76788896926185    1.4778414003889009
0.99    21.620947320055365    1.4882995345534773
1.0    23.63668430335096    1.4987011335178484
1.01    25.827494638124463    1.5090470598605057
1.02    28.20656967641713    1.5193381603383733
1.03    30.787939378440548    1.5295752661871558
1.04    33.586516026231    1.5397591934197155
1.05    36.618139728876564    1.5498907431220783
1.06    39.89962577339877    1.5599707017467128
1.07    43.4488138764394    1.5699998414027636
1.08    47.28461939298225    1.5799789201429728
1.09    51.42708653942907    1.5899086822470472
1.1    55.897443689449055    1.5997898585012644
1.11    60.71816080213127    1.609623166474148
1.12    65.91300904309063    1.6194093107880558
1.13    71.50712266030787    1.6291489833865624
1.14    77.5270631776281    1.6388428637975319
1.15    84.0008859699895    1.6484916193917956
1.16    90.95820928562213    1.6580959056373772
1.17    98.43028578162394    1.6676563663492114
1.18    106.45007664050749    1.6771736339343255
1.19    115.05232833650182    1.6866483296324637
1.2    124.27365212159995    1.6960810637521493
1.21    134.15260630255452    1.7054724359021816
1.22    144.72978138124984    1.7148230352185847
1.23    156.04788813211258    1.7241334405870272
1.24    168.1518486914693    1.733404220860742
1.25    181.08889073501393    1.7426359350739806
1.26    194.90864482081506    1.7518291326510418
1.27    209.66324497656788    1.7609843536109244
1.28    225.40743261108452    1.7701021287676513
1.29    242.19866383131023    1.7791829799263206
1.3    260.0972202474653    1.7882274200749446
1.31    279.1663233502244    1.7972359535721314
1.32    299.47225254517866    1.8062090763306806
1.33    321.0844669311614    1.8151472759971508
1.34    344.0757309103671    1.824051032127474
1.35    368.5222437195557    1.8329208163586792
1.36    394.5037729729997    1.841757092576797
1.37    422.10379230921524    1.8505603170810185
1.38    451.4096232349062    1.8593309387441745
1.39    482.51258126095735    1.8680693991696133
1.4    515.5081264267058    1.8767761328445396
1.41    550.4960183101729    1.8854515672898955
